sentence,source,target,relation
three raised garden beds growing fresh vegetables in a backyard,,fresh,['beds']
why constitutional republic is the most beautiful country in the world,constitutional,,['is']
tower stands on a cloudy day,tower,cloudy,"['stands', 'on']"
elephant eating from a tree close to a lake,,close,['elephant']
movie poster advertises professional boxer vs boxer,movie,poster,"['advertises', 'professional']"
a team of specialists before starting works on finishing the hall .,,hall,"['team', 'of']"
the players look relaxed during a training session on friday,players,training,"['look', 'relaxed']"
beams of bright sunlight fall on corals growing on the edge of a dark mangrove forest .,beams,dark,"['fall', 'on']"
cricketer of bats during the tour match between xi and uk constituent country .,,xi,"['cricketer', 'of']"
woman hand casts a ballot as she votes for the local elections at a polling station,she,local,['casts']
A man places tape on a rubber tire and then begins to rub it with a tool.,man,then,['places']
fountain with statue of a woman in the park near the lake,,lake,"['fountain', 'with']"
A cluttered wire shelving unit surrounds a desk with an old Mac on it.,wire,shelving,['surrounds']
rugby player is all smiles during the round match .,rugby,player,['is']
Packaged bananas for sale sitting in a basket.,,Packaged,"['bananas', 'for']"
christmas i miss a city the most at this time of year .,christmas,,['miss']
grandmother holding a newborn baby in the hospital,,newborn,['grandmother']
Trains on a track at a station outside with evergreen trees in distance.,,evergreen,"['Trains', 'on']"
a temporary banner will cover the site during construction,temporary,,['cover']
clouds floating on the sky in sunny day,,sunny,['clouds']
woman check stylish dress at outside shop .,woman,outside,"['check', 'stylish']"
a bouquet of peonies and roses,,peonies,"['bouquet', 'of']"
appeals for and gets the wicket of cricket player during match .,,cricket,"['appeals', 'for']"
politician and religious leader greet each other .,politician,religious,['greet']
ladies stroll along a pebbled beach in the early morning,ladies,early,"['stroll', 'along']"
family celebrate western christian holiday and new year .,family,christian,"['celebrate', 'western']"
a city were opened to the public by monarch beside the a variety,city,variety,"['opened', 'to']"
water flowing in a drain,,drain,['water']
guests came to the first event .,guests,first,"['came', 'to']"
"A narrator mentions people depending on you, then people in laser tag gear are shown engaging in matches.",then,,['shown']
some foods have antifungal properties that will help in your fight against disease .,antifungal,,"['have', 'antifungal']"
A shell pasta and broccoli dish on a green plate.,,green,['pasta']
puppies golden retriever running in a meadow,,golden,['retriever']
building function from across the lake,,building,"['function', 'from']"
mounted lamps welcome guests to this home in an unique way .,mounted,,['welcome']
A beautiful canopy bed bathed in natural sunlight.,beautiful,canopy,"['bathed', 'in', 'natural']"
bizarrely dressed cyclist in the city of cyclist are encouraged by a safe roads system including cycle,dressed,,"['encouraged', 'by']"
police stand guard outside the main railway station,police,main,['stand']
these modern diy peg walls are created by boring holes and cutting rods down .,modern,diy,"['created', 'by']"
a portrait of a juvenile badger taken during feeding time,,juvenile,"['portrait', 'of']"
close up of biological genus a flower to collect food and pollen .,,biological,['close']
fishing boats on the beach at sunrise on beach with pier in far distance,,far,"['boats', 'on']"
a butterfly flies over a flower collecting nectar in garden .,butterfly,garden,"['flies', 'over']"
a heart with initials carved into the bark of a tree trunk,,tree,"['heart', 'with']"
horses in a ranch on s sunny day,,s,"['horses', 'in']"
politician shakes hands of children after casting his vote for the general election .,politician,general,['shakes']
now you can make dish at home with this copycat recipe .,now,,['make']
funny pattern with orange bunnies and eggs in a flat style .,,flat,"['pattern', 'with', 'orange']"
a bathroom with a big shower and counter,,big,"['bathroom', 'with']"
the crowd at first light await the start of the parade .,crowd,first,['await']
religious leader celebrating mass during his first visit,,first,['leader']
a container ship departs port assisted by a tug,container,ship,['departs']
painted panels installed in the dining room at the home .,,painted,['panels']
a white wall a statue a gold blue and white clock,,,['wall']
rays of the sun are visible through the petals of a wild peony flower,rays,wild,"['are', 'visible']"
The vet puts a stethoscope to marley's chest and listens.,vet,chest,['puts']
A clock mounted to a ceiling next to a rail platform.,clock,next,"['mounted', 'to']"
little girl smiling as the doctor checks her heart beat with a stethoscope,heart,stethoscope,['smiling']
The orange cat is sleeping on the bathroom rug.,orange,cat,"['sleeping', 'on']"
stylish ways to add a dose of bohemian vibe to your hairstyle this summer with a head scarf .,,summer,['ways']
A dog navigates an obstacle.,dog,obstacle,['navigates']
the city offering panoramic views of the surrounding hills,,surrounding,['city']
automobile model was tested in the desert around a city .,automobile,model,"['tested', 'in']"
Sheep laying beneath a tree around farm equipment. ,,farm,['Sheep']
a soldier keeps watch while patrolling the southern city .,soldier,southern,['keeps']
double height living room with sofas and a huge central fireplace surrounded by floor to ceiling windows,,central,"['room', 'with']"
An Asian fish market with fish being cut up for sale.,Asian,fish,['cut']
ceramic tile that looks like wood pertaining to encourage,ceramic,,['tile']
flowering dandelions in a sunny spring field,,sunny,"['dandelions', 'in']"
create a focal point with the built in cabinets and make the room seem larger .,focal,,['create']
A small bathroom featuring a pink shower curtain.,,pink,['bathroom']
The teacher is helping her student complete some work.,student,work,['helping']
an old bridge giving access,,old,['bridge']
a patch of pink paintbrush fills the meadow on a hike .,patch,pink,['fills']
two teenagers are working on homework together,two,,"['working', 'on']"
green wall with leaves being shaken by the wind .,,green,"['wall', 'with']"
football player decided to reject a move in order to stay,football,player,['decided']
athlete controls the ball while working on a drill during a training session .,athlete,training,['controls']
politician was a new soldier and statesman who served times as governor .,new,,['was']
hands join for politician during a campaign rally on his final day,hands,final,"['join', 'for']"
nothing like better in fall and winter than layered tweed .,,layered,"['nothing', 'like', 'better']"
politician gives politician a tour of the grounds during his visit .,politician,visit,['gives']
the sculpture entitled looks out .,sculpture,,['looks']
The woman shakes her body while smoke fills the room around her.,smoke,her,['shakes']
an astronaut drifting in space is rescued by a space shuttle orbiting earth,astronaut,space,"['rescued', 'by']"
running offers a different perspective of roads than driving does .,running,different,['offers']
is a charming city to visit during a cruise .,,charming,['is']
players react during the qualifiers match against constitutional republic,players,constitutional,"['react', 'during']"
creating a floor plan with colors and patterns,,floor,['creating']
footballer lifted the trophy for the first time in may,footballer,first,['lifted']
The street sign indicated the names of the two streets. ,street,sign,['indicated']
this storm brought heavy winds and intense rain to the area .,storm,intense,"['brought', 'heavy']"
biological species eats algae off the rocks .,biological,,['eats']
A couch and a window in a room.,,room,['couch']
cats in a flowering meadow,,flowering,"['cats', 'in']"
bride and mother laughing in limo .,,limo,['bride']
stay fit with fun classes like yoga right on the beach .,,right,"['stay', 'fit']"
small long tail boat of native fishermen were running to sea in the early morning,long,tail,"['running', 'to']"
a narrow footpath winds its way through a crop of growing wheat with the rolling countryside,narrow,,['winds']
politician looks during a tour .,politician,tour,"['looks', 'during']"
A little kitty cat resting on sheet of polka dot material.,,polka,['cat']
cricketer plays a shot during sport international cricket match against uk constituent country,cricketer,sport,['plays']
sun breaking through the clouds above a city and old town,,city,['sun']
road leading through protected site,,protected,['road']
boys shepherd a flock of goats and sheep across a field below the ancient site,boys,ancient,['shepherd']
The newborn baby is laying down in the crib next to the teddy bear. ,newborn,,['laying']
a general view of a train arriving at station,,general,"['view', 'of']"
a boat is washed up on the rocks during wild weather and storms .,boat,wild,['washed']
shoppers looking for bargains on thanksgiving day,,thanksgiving,['shoppers']
Two men are wrestling inside of a gym while others watch,inside,,['wrestling']
a couple smiling and having fun at an event .,,event,['couple']
sometimes all it takes is sending a text message to end bullying .,it,text,['sending']
the group sat by the fire in the dark,group,dark,"['sat', 'by']"
big yellow clock is ticking while standing near the stack of books on the shelf .,yellow,,['ticking']
A baker that is decorating pastries with green icing.,that,green,['baker']
a bathroom with a tub and a shower curtain ,,tub,"['bathroom', 'with']"
politician delivers a speech at her campaign rally on super tuesday,politician,campaign,['delivers']
floating cranes on the construction of the bridge,,floating,"['cranes', 'on']"
close up of pomegranates for sale at a local market,,local,"['close', 'up']"
Many people look at art in the main lobby of a museum.,Many,,"['look', 'at']"
take your typical gingerbread cookies up a notch by dipping them into a little bit of white chocolate .,,white,['take']
these organisms must consume energy from other organisms .,organisms,other,['consume']
the cat keeps the mouse in the teeth .,cat,teeth,['keeps']
a man with chains during a protest against slavery in front of the embassy .,,embassy,"['man', 'with']"
religious leader looks on during a meeting,religious,,['looks']
flat icon of white crab isolated on the colorful circles .,,colorful,"['icon', 'of', 'white']"
troops arrive at their barracks to reinforce fellow troops following the siege by militants,troops,fellow,"['arrive', 'at']"
fishing boats on the beach at sunrise on beach with pier in far distance,,far,"['boats', 'on']"
Wrapping himself in one of the blankets he pulls it out from under the cat.,he,cat,['Wrapping']
you when you will fall in love and forget everything in the world even existed .,everything,world,"['fall', 'in']"
Thrre giraffes are cathing some shade  laying under a tree.,Thrre,giraffes,['cathing']
spacecraft manufacturer says this robot could assist astronauts on a deep space mission .,robot,deep,['says']
A bunch of food is layed out on a white dish,bunch,white,['layed']
a view of the nebula that highlights fledgling stars hidden in the gas and clouds .,that,fledgling,"['view', 'of']"
orangutans living in the wild and island,,wild,['orangutans']
an old hedge became an useful space for growing food .,old,,['became']
the church decorated for western christian holiday,,christian,['church']
sun rising on the first day of winter,,first,['sun']
shoppers buy groceries and goods inside supermarket .,shoppers,supermarket,['buy']
building is named after the city famous for its beaches,building,famous,"['named', 'after']"
close up portrait of cheerful students with teacher at the classroom,,cheerful,"['portrait', 'of', 'cheerful']"
little girl lays towel on the beach,little,,['lays']
A giraffe standing in the shade and eating sticks,,sticks,['giraffe']
a fan shows his support prior to the match .,fan,prior,['shows']
A man sits on stage alone playing the cello.,man,alone,"['sits', 'on']"
a hiking trail leading off into the forest,,hiking,['trail']
access to the upper levels is provided via stairs and an elevator,access,upper,"['provided', 'via']"
grand exploration of a satellite into orbit around earth .,,grand,"['exploration', 'of']"
woman standing at a market stall with heart shaped gingerbread cookies,,shaped,['woman']
fishermen push their traditional wooden boat from the beach into the sea,fishermen,wooden,['push']
a climber abseiling down munro mountain,,munro,['climber']
Birds soaring through a gray fog filled sky.,,filled,['Birds']
this suit really takes things to a whole new level .,suit,new,['takes']
A giraffe leaning low to eat grass on the ground,,low,['giraffe']
garden centre in the city,,garden,"['centre', 'in']"
an icy pond in a forest with snow surrounding the water,,icy,"['pond', 'in']"
"An omelet and toast on plates, and a cup of coffee.",,coffee,['omelet']
portrait of little boy lying on a jetty shielding his eyes with his hands,,little,"['portrait', 'of', 'little']"
arch bridge and tourists sightseeing in a gondola,,arch,['bridge']
sliding to reveal the building with blue sky and clouds,,blue,['sliding']
i found that this flower will have a faint eye in cooler weather .,flower,cooler,['found']
artist impression of plans to build homes on the former site,,former,"['impression', 'of']"
art period inspired living room in a home,,living,['period']
skier comes out of the trees carving turns in the early morning powder,carving,early,"['comes', 'out']"
if you ever want to win my heart by me a bouquet of black roses .,you,black,['want']
a dog dressed up for day,,day,['dog']
structure is a stop on the tours and .,structure,tours,['is']
firefighters battle a fire at the shop friday evening .,firefighters,shop,['battle']
may gift you all the colors you want to paint in your life,you,life,['gift']
darkness to type of dish inspired by book,,book,"['darkness', 'to']"
Three giraffes on grassy field next to trees.,,next,"['giraffes', 'on', 'grassy']"
those first few days at home with your new puppy can be challenging .,few,,['challenging']
first color image taken by spacecraft,,first,['image']
Two men clearing garbage from the street.,Two,,['clearing']
Four paper containers filled with different kinds of food.,,different,['containers']
examples of the hand made and painted pottery,,hand,"['examples', 'of']"
elephants with a calf on the savanna,,savanna,"['elephants', 'with']"
pears growing on a heavily laden tree in an orchard in the countryside,,laden,['pears']
a traditional meal of white fish served with green vegetables and potatoes with fresh dill,traditional,,"['served', 'with', 'green']"
a recent graduate points back at a fellow student after receiving his diploma during graduation ceremony on wednesday .,,fellow,['points']
train on a foggy day at station,,foggy,"['train', 'on']"
green flowering field with forest and mountains on a blue sky with clouds .,,blue,"['field', 'with']"
statue of liberty against a pale pink sky,,pink,"['statue', 'of']"
The man dumps the trailer then lowers it and drives away.,man,then,['dumps']
bronze statue of deity known as deity dated to late classical period,,classical,"['statue', 'of']"
A cat jumps out a window.,cat,window,['jumps']
sheepdog working a flock of sheep,sheepdog,sheep,['working']
surface of slowly brook from flowing among a rocks,,slowly,"['surface', 'of']"
pop rock artist performs live in concert as part of her tour to plug current album,pop,rock,['performs']
Two pizzas with broccoli and tomatoes and other ingredients.,,Two,"['pizzas', 'with']"
A train comes towards a street crossing on a cloudy day.,train,cloudy,"['comes', 'towards']"
a tree covered with initials and hearts,,initials,['tree']
The plate has stuffed red peppers and carrots on it.,plate,red,"['stuffed', 'red']"
Scene of interior of bathroom with toilet and medicine cabinet .,,toilet,"['Scene', 'of']"
Some giraffes are standing under a shade in the zoo. ,giraffes,zoo,"['standing', 'under']"
The fighter jets fly in very close formation.,fighter,jets,"['fly', 'in']"
The train is traveling down the tracks by the station.,train,station,"['traveling', 'down']"
mosaic tiling above basin in economy style bathroom with a basket of rolled towels,,rolled,"['tiling', 'above']"
monarch as a statue in front,,front,"['monarch', 'as']"
holiday lights look a little different than the rest of the country .,holiday,lights,['look']
two trays with cups of coffee and frosted donuts ,,two,"['trays', 'with']"
Zoomed in view of the toppings of a pizza including pepperoni and black olives.,,pepperoni,"['Zoomed', 'in']"
team up to build a pair of unique jet fighter inspired muscle cars,,unique,['team']
A pizza on a plate on a wooden surface,,wooden,"['pizza', 'on']"
retail and olympic athlete in action during a training session ahead of the match .,,ahead,"['athlete', 'in']"
type of place of worship of artwork featuring a temple or place of worship and religious elements,,worship,"['type', 'of']"
A pizza with topping that has been served to a table,that,table,"['pizza', 'with']"
finds out pizza is a vegetable salad for dinner foul bachelor frog,pizza,foul,['finds']
the arrow with a heart pierced through him .,,him,"['arrow', 'with']"
"small bathroom with white toilet, walls, and vanity",,white,"['bathroom', 'with', 'white']"
Caution tape surrounds a room that contains a woman.,that,woman,['surrounds']
A fisherman mends his nets.,fisherman,nets,['mends']
The bathroom has red and white tile and red granite counter top.,bathroom,red,"['has', 'red']"
a wide open yellow field with a big sky and flowers swaying in the breeze,,big,"['field', 'with']"
looking up at the rafters of a new extension being built on an existing home,,existing,['looking']
man loses his shorts as he is tackled by rugby player of spanish autonomous community during event .,he,autonomous,['loses']
An elephant trunk reaching for a hat on a young mans head.,,mans,['trunk']
site listing category was built across a large lawn to the north of the beginning,site,listing,"['built', 'across']"
woman treats teeth at the dentist,woman,dentist,['treats']
a shaft of sunlight comes through the trees on an early morning on one of many trails .,shaft,many,"['comes', 'through']"
politician delivers to a joint session on tuesday as politician applauds and politician listen,joint,,"['delivers', 'to']"
loading coal onto a train from an open cast coal mine on the border,,open,['loading']
religious leader meets the president at his private library,religious,,['meets']
politician inaugurates the statue of military commander,politician,military,['inaugurates']
an airport with one plane flying away and the other sitting on the runway,airport,away,['flying']
a child looks at a soldier as he assembles for evacuation with his family .,he,family,"['looks', 'at']"
students working in a row,,row,['students']
comedian and wife arrive at the premiere of movie,comedian,movie,"['arrive', 'at']"
my platinum hair with a hint of pink makes me feel like a barbie .,me,barbie,['makes']
A train is blowing steam while going down the track.,train,track,['blowing']
sunrise with a fisherman with a rod at the mouth and boat is passing by,sunrise,mouth,"['passing', 'by']"
big spider eating small insect on the spider web,,small,['spider']
a shopping trolley full of goods being pushed down an aisle in a supermarket,shopping,trolley,['pushed']
a driveway is bordered by the colour of autumn trees .,driveway,autumn,"['bordered', 'by']"
A textile project with multicolored large fiber is being woven on a loom.,textile,project,"['woven', 'on']"
fireworks burst over tourist attraction during celebrations .,fireworks,tourist,"['burst', 'over']"
An airline passenger plane unloading passengers and luggage on the tarmac.,,airline,['plane']
welcome your guests to your home with this warm wallpaper,,warm,['welcome']
students celebrate after learning their school was named organisation .,school,,"['celebrate', 'after']"
a student plays his trumpet while a piano accompanies him.,piano,him,['plays']
head poses with organisation founder and the award for award category won by pedigreed animal at awards .,head,pedigreed,"['poses', 'with']"
grainy image of two trains on tracks moving through a city,,two,"['image', 'of']"
ponds and park in the summer,,summer,['ponds']
aerial view looking towards structure and a city,,aerial,['view']
Kids poking around someones belly button with some kind of tool,,someones,['Kids']
pilgrims pray around islamic place of worship inside the grand mosque for the annual pilgrimage .,pilgrims,annual,"['pray', 'around', 'islamic']"
the pyramids are dwarfed by a huge sky with swirling clouds,pyramids,swirling,"['dwarfed', 'by']"
A mother and her baby watch a group of giraffes in a zoo enclosure. ,mother,zoo,['watch']
flock of sheep grazing on a green field in the countryside,,green,"['flock', 'of']"
A man in a canoe sits on a placid lake surrounded by lush green foliage.,man,green,"['sits', 'on']"
sheep on the moors feeding on supplementary hay in winter,,supplementary,"['sheep', 'on']"
The dog is swimming in the fountain.,dog,fountain,"['swimming', 'in']"
"Old locomotive steam engine, moving through rail yard",,Old,['engine']
a bus pulling away in as filming location,,filming,['bus']
pilgrims circle islamic place of worship as they pray inside islamic structure in the holy city,islamic,,"['circle', 'islamic']"
a village green with thatched cottages and a church,,thatched,"['village', 'green']"
abstract blue texture with rough surface in a gray silver stone .,,gray,"['texture', 'with', 'rough']"
fly fishing in a stream .,,stream,['fly']
protestors shouting slogans against visit during the protest today,protestors,protest,['shouting']
Four kids are being taught karate.,Four,,['taught']
A train going down the tracks near a small village. ,,small,['train']
A bathroom with brown ceramic tile around the bathtub near a window.,,ceramic,"['bathroom', 'with', 'brown']"
most of our time this weekend was spent with cute little kittens for the grand opening,weekend,grand,"['spent', 'with', 'cute']"
the football team are led onto their plane by footballer,football,team,"['led', 'onto']"
illuminated late gothic revival structure that is decorated with christmas lights,gothic,revival,"['illuminated', 'late']"
riders on horses heading north on a seemingly endless length of wide beach .,,wide,"['riders', 'on']"
museum which includes interior views and art,which,interior,['museum']
a city also known as tourist attraction,,also,['city']
A group of people are panning gold while talking to each other.,group,other,['panning']
an elephant encountered on safari .,,safari,['elephant']
letters carved into the bark of a tree,,tree,['letters']
the road leading to the windmills from the canal,,canal,['road']
slow motion of delicious french fries falling over a burger next to cola and ketchup .,,next,"['motion', 'of', 'delicious']"
tow local fishermen dragging a net from the sea onto republic,,local,"['tow', 'local']"
macro image of flowers growing in the ornamental garden at the rear of stable block,,stable,"['image', 'of']"
a style cocktail that packs a lot of punch,style,that,['cocktail']
printed pillows look fabulous in any room in your home .,printed,,"['look', 'fabulous']"
a small herd of elephants encountered on safari .,,small,"['herd', 'of']"
stars and clouds rotate in the sky above trees on a cold winter night,stars,cold,"['rotate', 'in']"
nothing can bring a real sense of security into the home except true love .,nothing,true,['bring']
A chef is needing dough on his countertop to make bread.,chef,bread,['needing']
concept art for the game,,concept,"['art', 'for']"
the nomadic chair could inspire a full range of furniture,nomadic,,['inspire']
mountains in evening light under a sky with cirrus clouds,,cirrus,"['mountains', 'in']"
view from inside a large space under construction with floor to ceiling windows covered in scaffolding .,,large,"['view', 'from']"
skyline at sunset with the sailboats and condos reflecting in the calm ocean water at dusk .,,calm,"['skyline', 'at']"
a tubular skylight can bring natural light into an interior bathroom with no windows,tubular,,"['bring', 'natural']"
drone flies very close to the waves over sea on clear weather,drone,clear,['flies']
early morning commuters cross box girder bridge for the city on a cold sunny winter morning,morning,,['cross']
a toilet with a remote control mounted on the side,toilet,remote,"['mounted', 'on']"
isolated green label with text for an organic product,,organic,"['label', 'with']"
a pharmacist standing at the counter in a pharmacy and showing some medicine .,,medicine,['pharmacist']
portrait of young happy attractive female jogger in the park,,female,"['portrait', 'of', 'young']"
A white plate topped with different kinds of fruits.,white,,"['topped', 'with', 'different']"
doctor giving a spoon of syrup to little child,doctor,little,['giving']
flower pots hanged of the wall,,flower,['pots']
Train at a train station on a clear day in a city.,,clear,"['Train', 'at']"
firefighters were called to an incident,firefighters,incident,"['called', 'to']"
cyclists descend the steep road through the mountains with the sun,cyclists,steep,['descend']
organisation often decorate their bodies with elaborate tattoos .,organisation,elaborate,['decorate']
old building in process of demolition while a crane is constructing a modern structure,old,,"['building', 'in']"
three dogs fight for a bone,three,,"['fight', 'for']"
A train appears to be traveling down the tracks. ,train,tracks,['appears']
partition will allow to transform the space in the room .,partition,room,['allow']
in a historic move to host event for the first time,,first,['in']
A farm with a pasture for cattle and a grain silo near buildings.,,grain,"['farm', 'with']"
A giraffe and a small herd of zebra eat hay.,giraffe,small,['eat']
hotel on side of the room you ll,you,room,['ll']
boat is the fastest marine vessel if travelling by few miles from coast to coast .,boat,few,['is']
english metropolitan borough is a major killer of poultry in developing countries,english,metropolitan,['is']
A tray of pizza served to a table,tray,table,"['served', 'to']"
taking care of your heart is one of the most important things you can do,important,,['is']
a boy carries a load of fresh bananas,boy,fresh,['carries']
from our seats looking at the empty stadium,,empty,['from']
great idea for repurposing an old window .,,old,"['idea', 'for']"
the house located is listed for sale .,house,sale,"['listed', 'for']"
carved wooden wall at the temple .,,wooden,"['wall', 'at']"
a number of items laying on a surface near one another ,,one,"['number', 'of']"
a helicopter takes off with its passengers for a scenic flight over a city .,helicopter,scenic,['takes']
image result for do not judge a book by its cover,,image,['result']
cell the smallest unit of an organism that carries on the functions of life,smallest,,['cell']
want some new black skinny jeans with holes in the knee not ripped,,skinny,['want']
The living room has been furnished with large couches.,living,room,"['furnished', 'with', 'large']"
create a more lively feel by decorating your balcony like any other room .,,other,['create']
flowers the flower uses petals to attract pollinators to the flowers .,flower,flowers,['uses']
the mountain rises out of the clouds on a cold morning,mountain,cold,"['rises', 'out']"
a sandwich some bread and dipping sauce and some fries,,,['sandwich']
christmas books that bring the holiday spirit into our home .,christmas,that,['books']
map showing the cruises a city took,city,cruises,['map']
tree silhouetted against the night sky and galaxy seen from person .,tree,night,"['silhouetted', 'against']"
traditional carpeted family room idea with a standard fireplace,,standard,"['idea', 'with']"
mosaic tiles can be arranged in a variety of ways to fit any decor .,mosaic,,"['arranged', 'in']"
mixing and kneading salt and an egg with flour to make fresh pasta,,fresh,['mixing']
scientists have discovered a brand new species of giant octopus hiding in plain sight,scientists,plain,['discovered']
panning shot of a mountain reflected in a large lake,,large,"['shot', 'of']"
type of place of worship of artwork featuring a temple or place of worship and religious elements,,worship,"['type', 'of']"
happiness is being with an old friend after a long time and feeling like nothing has changed .,long,,"['being', 'with']"
An old stone building with a clock tower and another clock by the entrance.,,old,"['building', 'with']"
students gathered around a car,students,car,"['gathered', 'around']"
football player spent most of the time winding up players but he caused a problem,he,problem,"['spent', 'most']"
The bar with a crowd that talks different.,that,crowd,"['bar', 'with']"
airport as seen from sea with a departing plane,,departing,['airport']
sun rises over the hill .,sun,hill,"['rises', 'over']"
ways to create a focal point in any room,,focal,['ways']
industry helped spacecraft manufacturer to find another planet in orbit,industry,spacecraft,['helped']
the sky looks like a painting today,sky,painting,"['looks', 'like']"
field of sunflowers under a blue sky,,blue,"['field', 'of']"
firefighters were today battling the huge blaze after an apparent explosion near the airport,firefighters,apparent,['battling']
the pilots who flew military transport aircraft into country .,who,military,['pilots']
train moving on railway to the city,,city,['train']
aerobatic aircrafts splitting and breaking formation during an airshow of the air force,,aerobatic,['aircrafts']
a group of tiny orange mushrooms grows on a log aside a hiking trail,group,tiny,"['grows', 'on']"
time lapse of milky way rising above horizon with clouds moving in and out on a dark night,milky,,"['rising', 'above']"
A cow with tagged ears peering over a wooden fence.,,wooden,"['cow', 'with', 'tagged']"
the pier of city waiting for the ship to dock,ship,city,['waiting']
us federal holiday is one of the best times to visit constitutional republic .,federal,,['is']
the city uses unique parking to prevent cars from accessing specific reserved,city,specific,"['uses', 'unique']"
a stylized flower with striped petals in gold and ivory,,striped,"['flower', 'with']"
football player with a red uniform seated in locker room,,red,"['player', 'with']"
a bed with breakfast served on it .,bed,it,"['served', 'on']"
A marina filled with lots of boats near a building.,,building,['marina']
witch with a star on the broom,,broom,"['witch', 'with']"
"Sheep, one in mixed brown and white fleece and long horns, the other in beige fleece grazing on grass.",,beige,['Sheep']
stone rocks among the watery surface .,,watery,"['rocks', 'among']"
hand make heart shape painted with the colors of the flag .,,hand,['make']
drone takes the box with the goods for delivery to the buyer .,drone,buyer,['takes']
view from the green shoreline beneath a blue sky filled with fluffy clouds .,,fluffy,"['view', 'from']"
add a stylish flair to your dining room with these wooden dining chairs .,,wooden,['add']
A train station with trains and a hanging clock.,,train,"['station', 'with']"
fresh red tomatoes for sale in a market,,red,"['tomatoes', 'for']"
flowers growing along side a ruin,flowers,side,['ruin']
nurse visiting a patient at the hospital,,hospital,['nurse']
during sunrise a fishing boat leaves the harbour .,fishing,boat,['leaves']
clouds pass quickly in a colorful sky as it darkens,colorful,,['pass']
an iridescent black and green bee collecting pollen on a purple wild flower in the park,,wild,['bee']
the ship transporting the cargo .,,cargo,['ship']
tracking shot of a beautiful red flower in botanical gardens,,botanical,"['shot', 'of']"
this small bathroom has tiny brown and beige tiles in the shower and on the floor .,small,,"['has', 'tiny']"
A bathroom sink with a mirror reflection of the shower and hung towels. ,bathroom,shower,"['sink', 'with']"
lake from the surrounding mountains,,surrounding,"['lake', 'from']"
red flower growing in the northern part of the country,,northern,['flower']
aerial drone shot flying low over calm and reflective lake with an island during sunrise,aerial,,['shot']
a city has a curse on people crossing on the way to their marriage,city,marriage,['has']
members during the rally held .,,rally,"['members', 'during']"
soldiers march along industry on their way to change the guard,soldiers,guard,"['march', 'along']"
A girl is speaking while she uses a needle to poke holes into a snowman doll.,she,snowman,['speaking']
a container ship passing through sea off the coast,,container,['ship']
dolphins swimming in front of the bow of a ship at slow speed,,slow,['dolphins']
a view of pilots in the cockpit flying,,cockpit,"['view', 'of']"
the boat can travel at knots and has a range of miles .,boat,miles,"['travel', 'at']"
word cloud of red i love you message in various fonts in a form of heart,word,i,['love']
colorful sky in lake reflected and the boat in morning time before sunrise,colorful,,['reflected']
a small waterfall with a thin flow of water in the summer in a tropical forest,,tropical,"['waterfall', 'with']"
view of causes of death going out of the head of a bored attractive bold man geek with glasses,,bold,"['view', 'of']"
samples of round rods from brass on the table for assessing a quality and other characteristics .,,round,"['samples', 'of', 'round']"
boats in the sea on a hazy evening,,hazy,"['boats', 'in']"
The men are teaching karate to a group of kids,men,kids,['teaching']
coach tries to break the tackles of athlete and rugby player,coach,athlete,['tries']
tourists in a boat in front,,front,"['tourists', 'in']"
A clock mounted on the side of a yellow wall.,clock,yellow,"['mounted', 'on']"
incoming waves of the sea on the coast in foggy weather,,foggy,"['waves', 'of']"
in time this too shall pass tattoo,this,too,['pass']
here is a map showing the location of reach facility relative to a city and the lifts .,here,,['is']
ears of barley on the field in summer .,,summer,"['ears', 'of']"
two giraffes walking next to each other inside of a fenced enclosure,,fenced,['giraffes']
add a dose of country style to your home no matter where you live .,where,country,['add']
a river cuts through a deep canyon flanked by steep cliffs and vegetation,river,steep,"['cuts', 'through']"
a hiker looks out over valley on a sunny day,hiker,sunny,['looks']
residents wade through the floodwater outside their home,residents,home,"['wade', 'through']"
fireworks cracking against a black sky in the night with some trees in the foreground,,black,['fireworks']
football player was one of the players football player allowed to leave,football,player,['was']
A large room that features two couches and a large fireplace.,large,,['room']
a hedgerow and hay field with blue sky and clouds on a cool spring day,,cool,"['field', 'with', 'blue']"
multiple distinct layers on a round face create an illusion of a slimmer face,distinct,,['create']
the tide ebbing from the beach by english civil parish before sunrise,,civil,['tide']
"Staying by someone's side, someone lowers his emotional gaze.",someone,emotional,['lowers']
add some style to your home decor with this unique decorative bookcase .,,decorative,['add']
a man carries recently harvested vegetables in fields on the outskirts,man,harvested,['carries']
rows of burning candles at the temple,,burning,"['rows', 'of']"
"Home scene of stairwell and bathroom, shower curtain and partial toilet seat visible.",Home,scene,['shower']
pearls fastened with delicate flowers with crystals .,,delicate,['pearls']
branch with berries of the red currant in the garden,,red,"['branch', 'with']"
image of woman walking in the forest and ghost like human,,human,"['image', 'of']"
flying low over foggy forest in the bright sunlight of autumn sunrise,,bright,['flying']
Vintage rocking chair next to a sun lit window.,,sun,['chair']
civil war left the country devastated .,civil,,['left']
pretty engagement ring with bridal bands with diamonds and material in fiction,,pretty,"['ring', 'with']"
actor adds a red bag to her black outfit for a pop of color .,actor,black,['adds']
effigy of crucifixion on a cross outside church in city centre,,city,"['effigy', 'of']"
an image of skiing on some fresh snow during the holidays,,fresh,"['image', 'of']"
An empty classroom with lots of desks and two chalkboards.,,empty,"['classroom', 'with']"
